,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
317,32,77,117,183,24,38,69,42,86,31,4,-4228,7704,2608,13579
318,34,75,117,147,24,39,67,39,86,31,4,-4228,7704,2608,13579
319,34,75,117,147,24,39,67,39,27,22,14,-4232,7696,2611,13581
320,35,75,119,147,24,38,66,40,27,22,14,-4232,7696,2611,13581
321,35,75,119,147,24,38,66,40,6,4,-5,-4232,7696,2611,13582
322,37,72,115,159,21,38,67,41,6,4,-5,-4232,7696,2611,13582
323,37,72,115,159,21,38,67,41,2,-9,-5,-4232,7696,2611,13582
324,37,57,97,138,22,38,69,41,2,-9,-5,-4232,7696,2611,13582
325,37,57,97,138,22,38,69,41,-4,-4,4,-4232,7696,2610,13582
326,35,39,88,127,24,39,70,41,-4,-4,4,-4232,7696,2610,13582
327,35,39,88,127,24,39,70,41,7,-8,17,-4235,7698,2611,13580
328,33,39,79,127,26,38,72,42,7,-8,17,-4235,7698,2611,13580
329,33,39,79,127,26,38,72,42,-6,-23,34,-4238,7703,2609,13576
330,35,41,101,118,26,39,71,42,-6,-23,34,-4238,7703,2609,13576
331,35,41,101,118,26,39,71,42,2,-22,7,-4240,7707,2608,13573
332,33,40,99,93,26,39,68,43,2,-22,7,-4240,7707,2608,13573
333,33,40,99,93,26,39,68,43,-1,-16,15,-4240,7707,2608,13573
334,27,38,83,73,25,38,68,42,-1,-16,15,-4240,7707,2608,13573
335,27,38,83,73,25,38,68,42,-2,-23,14,-4241,7713,2608,13570
336,27,43,83,78,25,40,68,41,-2,-23,14,-4241,7713,2608,13570
337,27,43,83,78,25,40,68,41,25,-4,14,-4245,7712,2611,13568
338,34,44,89,93,24,39,64,43,25,-4,14,-4245,7712,2611,13568
339,34,44,89,93,24,39,64,43,39,-12,13,-4250,7711,2617,13566
340,32,39,57,87,23,39,63,42,39,-12,13,-4250,7711,2617,13566
341,32,39,57,87,23,39,63,42,0,-23,20,-4252,7715,2617,13563
